N Language      ISO-639 code Text
------------------------------------------------------------
1  af           afrikaans    Goeie more
2  sq           albanian     Miremengjes
3  am           amharic      ምልካም እድል
4  ar           arabic       صباح الخير
5  hy           armenian     Բարի առավոտ
6  as           assamese     সুপ্ৰভাত
7  ay           aymara       Aski alwakipana
8  az           azerbaijani  Sabahınız xeyir
9  bm           bambara      A' ni sɔgɔma
10 eu           basque       Egun on
11 be           belarusian   Добрай раніцы
12 bn           bengali      সুপ্রভাত
13 bho          bhojpuri     शुभ प्रभात
14 bs           bosnian      Dobro jutro
15 bg           bulgarian    Добро утро
16 ca           catalan      Bon dia
17 ceb          cebuano      Maayong buntag
18 ny           chichewa     M'mawa wabwino
19 zh-CN        chinese (simplified) 早上好
20 zh-TW        chinese (traditional) 早安
21 co           corsican     Bonghjornu
22 hr           croatian     Dobro jutro
23 cs           czech        Dobré ráno
24 da           danish       God morgen
25 dv           dhivehi      ބާއްޖެވެރި ހެނދުނެއް
26 doi          dogri        शुभ सवेर
27 nl           dutch        Goedemorgen
28 en           english      Good morning
29 eo           esperanto    Bonan matenon
30 et           estonian     Tere hommikust
31 ee           ewe          Ŋdi
32 tl           filipino     Magandang umaga
33 fi           finnish      Hyvää huomenta
34 fr           french       Bonjour
35 fy           frisian      Goedei
36 gl           galician     Bos días
37 ka           georgian     Დილა მშვიდობისა
38 de           german       Guten Morgen
39 el           greek        Καλημέρα
40 gn           guarani      Mba'éichapa ndepyhare
41 gu           gujarati     સુપ્રભાત
42 ht           haitian creole Bonjou
43 ha           hausa        Barka da safiya
44 haw          hawaiian     Aloha kakahiaka
45 iw           hebrew       בוקר טוב
46 hi           hindi        शुभ प्रभात
47 hmn          hmong        Nyob zoo sawv ntxov
48 hu           hungarian    Jó reggelt kívánok
49 is           icelandic    Góðan daginn
50 ig           igbo         Ụtụtụ ọma
51 ilo          ilocano      Naimbag a bigat
52 id           indonesian   Selamat pagi
53 ga           irish        Maidin mhaith
54 it           italian      Buongiorno
55 ja           japanese     おはよう
56 jw           javanese     sugeng enjang
57 kn           kannada      ಶುಭೋದಯ
58 kk           kazakh       Қайырлы таң
59 km           khmer        អរុណ​សួស្តី
60 rw           kinyarwanda  Mwaramutse
61 gom          konkani      बरी सकाळ आंवडेतां
62 ko           korean       좋은 아침이에요
63 kri          krio         Gud mɔnin
64 ku           kurdish (kurmanji) Beyanî baş
65 ckb          kurdish (sorani) بەیانی باش
66 ky           kyrgyz       Кайырдуу таң
67 lo           lao          ສະ​ບາຍ​ດີ​ຕອນ​ເຊົ້າ
68 la           latin        Bonum mane
69 lv           latvian      Labrīt
70 ln           lingala      Mbote
71 lt           lithuanian   Labas rytas
72 lg           luganda      Wasuze otya
73 lb           luxembourgish Gudde Moien
74 mk           macedonian   Добро утро
75 mai          maithili     सुप्रभात
76 mg           malagasy     Salama
77 ms           malay        Selamat Pagi
78 ml           malayalam    സുപ്രഭാതം
79 mt           maltese      Bongu
80 mi           maori        Ata pai
81 mr           marathi      शुभ प्रभात
82 mni-Mtei     meiteilon (manipuri) ꯈꯨꯔꯨꯝꯖꯔꯤ
83 lus          mizo         Tukchhuah nuam le
84 mn           mongolian    Өглөөний мэнд
85 my           myanmar      မင်္ဂလာနံနက်ခင်းပါ
86 ne           nepali       शुभ - प्रभात
87 no           norwegian    God morgen
88 or           odia (oriya) ଶୁଭ ସକାଳ
89 om           oromo        Akkam bulte
90 ps           pashto       سهار مو پخیر
91 fa           persian      صبح بخیر
92 pl           polish       Dzień dobry
93 pt           portuguese   Bom dia
94 pa           punjabi      ਸ਼ੁਭ ਸਵੇਰ
95 qu           quechua      Rimaykullayki
96 ro           romanian     Buna dimineata
97 ru           russian      Доброго утра
98 sm           samoan       Manuia le taeao
99 sa           sanskrit     सुप्रभातम्‌
100 gd           scots gaelic Madainn mhath
101 nso          sepedi       Thobela
102 sr           serbian      Добро јутро
103 st           sesotho      Khotsong
104 sn           shona        Mangwanani akanaka
105 sd           sindhi       صبح جو سلام
106 si           sinhala      සුභ උදෑසනක්
107 sk           slovak       Dobré ráno
108 sl           slovenian    Dobro jutro
109 so           somali       Subax wanaagsan
110 es           spanish      Buen día
111 su           sundanese    Wilujeng énjing
112 sw           swahili      Habari za asubuhi
113 sv           swedish      God morgon
114 tg           tajik        Субҳ ба хайр
115 ta           tamil        காலை வணக்கம்
116 tt           tatar        Хәерле иртә
117 te           telugu       శుభోదయం
118 th           thai         สวัสดีตอนเช้า
119 ti           tigrinya     ከመይ ሓዲርኩም
120 ts           tsonga       Mixo lowunene
121 tr           turkish      Günaydın
122 tk           turkmen      Ertiriňiz haýyrly bolsun!
123 ak           twi          Mema wo akye
124 uk           ukrainian    Доброго ранку
125 ur           urdu         صبح بخیر
126 ug           uyghur       خەيرلىك ئەتىگەن!
127 uz           uzbek        Xayrli tong
128 vi           vietnamese   Chào buổi sáng
129 cy           welsh        Bore da
130 xh           xhosa        Mholo
131 yi           yiddish      גוט מארגן
132 yo           yoruba       E kaaro
133 zu           zulu         Sawubona
Ok
